X (m),Y (m),Z (m),DX
-0.005602029,0.049309134,0.441713122,-3.33E-05
-0.005611709,0.003260833,0.150470101,8.40E-05
-0.005618064,0.033970388,0.378198432,2.11E-05
-0.005618375,0.150450891,0.184175328,3.43E-05
-0.005642279,0.150140921,0.402637584,-8.98E-06
-0.005646167,0.134677553,0.164068666,8.41E-05
-0.00564755,0.142380228,0.410100494,-1.81E-05
-0.005648342,0.088169536,0.437634746,-4.07E-05
-0.005659896,0.018253723,0.187709798,2.66E-05
-0.005664833,0.142273733,0.381251799,2.45E-05
-0.005679995,0.112794258,0.379712234,6.94E-06
-0.005685395,0.057091765,0.441566465,-3.06E-05
-0.005686235,0.158184878,0.18362408,2.63E-05
-0.005687525,0.018852633,0.378394757,2.57E-05
-0.005691793,0.033836167,0.187650359,2.73E-05
-0.005711897,0.010428043,0.187756101,2.41E-05
-0.005722295,0.026379927,0.378224948,2.30E-05
-0.005725057,0.010402126,0.150211567,0.000106115
-0.005726982,0.041637414,0.187655555,3.00E-05
-0.005728053,0.026043291,0.187676352,2.54E-05
-0.005736618,0.06481889,0.441224154,-2.47E-05
-0.005742013,0.04156974,0.378237996,2.27E-05
-0.005742201,0.157982447,0.170375847,7.85E-05
-0.005749313,0.010199083,0.378472559,3.58E-05
-0.00575569,0.1346094,0.417610726,-2.65E-05
-0.005757032,0.157898474,0.395477838,3.97E-08
-0.005782659,0.018171834,0.15020685,0.000107083
-0.005809888,0.15808145,0.384551869,2.47E-05
-0.005820497,0.11134159,0.431771789,-3.93E-05
-0.005825662,0.148817119,0.381680639,1.26E-05
-0.00583906,0.071391416,0.440855129,-1.22E-05
-0.005846038,0.049383598,0.18771779,3.07E-05
-0.005872715,0.025945955,0.150158118,0.000108048
-0.005872792,0.103642749,0.157018988,9.91E-05
-0.005909807,0.095917562,0.437662983,-3.92E-05
-0.005946157,0.126852294,0.424973366,-3.34E-05
-0.005951951,0.033718223,0.150202663,0.000107208
-0.005955635,0.164657023,0.183527499,1.44E-05
-0.005994206,0.057195358,0.187732565,3.26E-05
-0.005999911,0.17349947,0.175894613,7.13E-05
-0.006016,0.118329488,0.379671921,6.76E-06
-0.006041532,0.041490066,0.150296906,0.000104916
-0.006065484,0.165615042,0.389529383,1.07E-05
-0.006087275,0.142457721,0.16399347,8.71E-05
-0.00609597,0.173619628,0.180831966,7.14E-05
-0.006128757,0.150139677,0.410088409,-1.71E-05
-0.006142375,0.049265357,0.378290077,2.41E-05
-0.006146575,0.157895114,0.402577348,-8.14E-06
-0.006170396,0.049259326,0.150305014,0.00010482
-0.006193191,0.103663755,0.437660654,-3.67E-05
-0.00619758,0.003253771,0.187952691,1.73E-05
-0.006200516,0.119101625,0.431740621,-3.83E-05
-0.006202686,0.080447864,0.378345084,2.54E-05
-0.006205776,0.111399607,0.157017977,9.67E-05
-0.006210683,0.142372853,0.417613704,-2.54E-05
-0.006215669,0.072654793,0.378324459,2.55E-05
-0.006253758,0.165762507,0.170315242,8.25E-05
-0.006271187,0.165648843,0.384710034,1.95E-05
-0.006277664,0.065026773,0.187873007,3.00E-05
-0.006299937,0.165645908,0.395556413,3.68E-07
-0.006335267,0.057029087,0.150280419,0.000104799
-0.006336296,0.064885243,0.378303454,2.64E-05
-0.006384003,0.134613437,0.425005338,-3.23E-05
-0.006391547,0.057074242,0.37831455,2.59E-05
-0.006541814,0.064794367,0.150223435,0.000105036
-0.006547128,0.111399244,0.437648298,-3.54E-05
-0.006549452,0.088050702,0.378303401,2.43E-05
-0.006555766,0.150235238,0.163957939,8.88E-05
-0.006556489,0.119161212,0.157057009,9.33E-05
-0.006579043,0.072806183,0.187993013,2.82E-05
-0.006588245,0.181275968,0.175914087,7.38E-05
-0.006613414,0.151830283,0.185835102,1.18E-05
-0.00662318,0.126879177,0.431856659,-3.78E-05
-0.006642427,0.157917345,0.410098394,-1.59E-05
-0.006643845,0.088353335,0.187695984,3.52E-05
-0.006644077,0.173334578,0.389682119,1.20E-05
-0.006654604,0.080576502,0.187829448,3.15E-05
-0.006669866,0.181386076,0.180769685,7.11E-05
-0.006675193,0.096171628,0.187637125,3.55E-05
-0.006694465,0.165674796,0.402634187,-6.88E-06
-0.006697063,0.150155444,0.417633049,-2.41E-05
-0.006711954,0.048048482,0.443850966,-7.21E-06
-0.006717151,0.128746937,0.379284438,7.69E-06
-0.006721776,0.04271217,0.443873199,-7.25E-06
-0.006747479,0.002621828,0.378181703,1.65E-05
-0.006752665,0.072556005,0.150230547,0.000105229
-0.006770492,0.158281178,0.185567619,2.44E-05
-0.006778778,0.058418617,0.443678245,-8.10E-06
-0.006792198,0.173524727,0.170261029,8.53E-05
-0.006793211,0.173273133,0.384815491,1.77E-05
-0.006834345,0.002176113,0.146565455,1.40E-05
-0.00684369,0.142393357,0.425002139,-3.13E-05
-0.006873683,0.173426364,0.39570656,9.98E-07
-0.006885479,0.103957996,0.187577538,3.42E-05
-0.006888737,0.13494448,0.379302,1.58E-05
-0.00692375,0.06485267,0.443562557,-1.72E-05
-0.006928385,0.119156213,0.437598651,-3.40E-05
-0.006932175,0.072710605,0.442974597,-2.84E-05
-0.006932685,0.126922623,0.157122798,9.09E-05
-0.006966521,0.080320544,0.15030132,0.000102754
-0.006998151,0.080520771,0.442451209,-3.78E-05
-0.007007603,0.095592576,0.378316825,2.54E-05
-0.007030905,0.142499379,0.379511125,1.91E-05
-0.007044668,0.166037344,0.185355878,3.71E-05
-0.007052792,0.157990955,0.163923859,9.05E-05
-0.00705892,0.103395424,0.378430745,2.67E-05
-0.007067949,0.150367569,0.380103835,3.00E-05
-0.00707144,0.134657931,0.431917604,-3.66E-05
-0.007141059,0.111738192,0.187554773,3.35E-05
-0.007163383,0.189102584,0.175941895,7.81E-05
-0.007169113,0.111488803,0.378462686,2.53E-05
-0.007193171,0.165711236,0.41013857,-1.45E-05
-0.007207953,0.189172383,0.180765607,7.03E-05
-0.007217712,0.157947211,0.417670474,-2.29E-05
-0.007223092,0.158225251,0.380492061,3.94E-05
-0.007227189,0.088088745,0.150315972,1.00E-04
-0.007246354,0.181186503,0.389554595,1.33E-05
-0.007267511,0.173473189,0.402693695,-5.50E-06
-0.007273563,0.088268586,0.442527038,-3.52E-05
-0.00731516,0.134678517,0.157241474,8.88E-05
-0.007329213,0.119589449,0.1875849,3.50E-05
-0.007334869,0.150185352,0.425012056,-3.02E-05
-0.007337791,0.181271493,0.170343792,8.60E-05
-0.007364421,0.126915693,0.437691658,-3.29E-05
-0.007381328,0.181155888,0.384609427,1.60E-05
-0.007418411,0.173800584,0.185060841,5.14E-05
-0.007464243,0.181232477,0.395669463,1.67E-06
-0.007475952,0.096038481,0.442562255,-3.69E-05
-0.007519621,0.095865074,0.150285857,9.51E-05
-0.007525204,0.142426167,0.431858442,-3.51E-05
-0.007579164,0.165764427,0.163816833,9.22E-05
-0.00761065,0.165646123,0.380718421,3.82E-05
-0.00762151,0.127384819,0.187795305,3.42E-05
-0.007695222,0.103772841,0.442583299,-3.65E-05
-0.007738259,0.19692728,0.180778826,6.91E-05
-0.007742206,0.142445784,0.157211026,8.68E-05
-0.007743891,0.196882497,0.176015782,7.93E-05
-0.00775348,0.119659223,0.378365467,2.61E-05
-0.007761951,0.173463887,0.410125461,-1.29E-05
-0.007764126,0.165698308,0.417667186,-2.10E-05
-0.007790129,0.134681237,0.437767135,-3.20E-05
-0.007814718,0.10363267,0.150296027,9.05E-05
-0.007840273,0.188991977,0.389411491,1.23E-05
-0.007851307,0.135087159,0.187904603,3.39E-05
-0.007853095,0.181228985,0.402654945,-3.95E-06
-0.007853757,0.010410538,0.143870595,9.37E-05
-0.007854197,0.157936444,0.425014253,-2.84E-05
-0.007876729,0.003265145,0.143727599,6.64E-05
-0.007900849,0.018178816,0.14382617,9.47E-05
-0.007915124,0.181571598,0.18500444,5.52E-05
-0.007926901,0.189042883,0.17033122,8.87E-05
-0.007988563,0.025949445,0.143774809,9.36E-05
-0.007994568,0.188895017,0.384530859,2.05E-05
-0.008003811,0.15018224,0.431778256,-3.17E-05
-0.008075143,0.033717495,0.143821537,9.50E-05
-0.008076042,0.142857837,0.187884188,3.39E-05
-0.008080696,0.188977776,0.395596258,3.67E-06
-0.008091888,0.173217245,0.380892016,4.22E-05
-0.008092749,0.117847544,0.151436381,4.28E-05
-0.008094306,0.173520863,0.163840559,9.02E-05
-0.008103156,0.111510351,0.442531569,-3.67E-05
-0.008131739,0.11137665,0.150340287,8.81E-05
-0.008165405,0.041489508,0.143942075,9.66E-05
-0.008203916,0.142440536,0.437615078,-3.03E-05
-0.008209733,0.150204608,0.157168743,8.71E-05
-0.00829983,0.049265743,0.143961651,9.73E-05
-0.008302544,0.204636068,0.180749139,6.90E-05
-0.008324651,0.156674031,0.158270037,4.35E-05
